,Gene,Spearman_r,P_value,FDR
20910,TMEM102,0.8765,8e-06,0.173635
31738,CALR,0.8735,1e-05,0.173635
19164,LIMK1,0.8588,2e-05,0.19968025
23991,SDF2L1,0.8559,2.3e-05,0.19968025
34294,ZBTB8A,0.8324,6.3e-05,0.30559759999999997
15649,DPP3,0.8271,7.7e-05,0.30559759999999997
23236,UCK2,0.8265,7.9e-05,0.30559759999999997
28669,ISOC2,0.8235,8.8e-05,0.30559759999999997
25790,LDLR,0.8235,8.8e-05,0.30559759999999997
22413,SLC25A22,0.8235,8.8e-05,0.30559759999999997
22855,FOSB,0.8206,9.8e-05,0.309386
29794,CREB3L2,0.8176,0.000109,0.3102278666666667
29867,MESP1,0.8147,0.000121,0.3102278666666667
16359,GZMM,0.8118,0.000134,0.3102278666666667
8052,lnc-PSMG4-1,-0.8118,0.000134,0.3102278666666667
31495,LOC102725343,0.8088,0.000148,0.32122475
30727,VARS,0.8059,0.000164,0.33199012
15658,INCENP,0.8029,0.000181,0.33199012
19337,ZC3H7B,0.8,0.000199,0.33199012
15196,AKAP5,0.7971,0.000218,0.33199012
33012,LOC100128310,-0.7941,0.000239,0.33199012
18940,GSS,0.7941,0.000239,0.33199012
22984,BNC2,0.7941,0.000239,0.33199012
27303,SLC7A5,0.7941,0.000239,0.33199012
18739,GLG1,0.7941,0.000239,0.33199012
19926,EIF2B2,0.7918,0.000257,0.33698051851851857
19915,AREG,0.7912,0.000262,0.33698051851851857
15236,HSPBP1,0.7853,0.000313,0.3491471351351351
19251,CTPS1,0.7853,0.000313,0.3491471351351351
28945,POLA1,0.7824,0.000341,0.3491471351351351
27436,SLAMF7,0.7824,0.000341,0.3491471351351351
31485,RPE,0.7824,0.000341,0.3491471351351351
18387,HNRNPAB,0.7824,0.000341,0.3491471351351351
15681,A2M,0.7794,0.000372,0.3491471351351351
17429,B9D1,0.7794,0.000372,0.3491471351351351
23052,HSD17B10,0.7794,0.000372,0.3491471351351351
14895,AVEN,0.7794,0.000372,0.3491471351351351
11746,lnc-PCDH12-1,-0.7765,0.000404,0.35074269999999996
21795,NARFL,0.7765,0.000404,0.35074269999999996
8905,BAZ2B,-0.7765,0.000404,0.35074269999999996
27575,DUSP2,0.7735,0.000439,0.37183299999999997
19472,DHCR7,0.7706,0.000477,0.3943995
17175,PRF1,0.7647,0.00056,0.42851807547169807
15558,GPKOW,0.7618,0.000605,0.42851807547169807
31210,ADAT3,0.7618,0.000605,0.42851807547169807
26038,PUF60,0.7618,0.000605,0.42851807547169807
17917,IPO4,0.7618,0.000605,0.42851807547169807
29477,ITPRIPL1,0.7588,0.000654,0.42851807547169807
26558,MBLAC1,0.7588,0.000654,0.42851807547169807
5876,lnc-DLGAP1-1,0.7588,0.000654,0.42851807547169807
15869,XBP1,0.7588,0.000654,0.42851807547169807
646,PRSS55,-0.7588,0.000654,0.42851807547169807
18529,CREM,0.7588,0.000654,0.42851807547169807
18094,DNAJB11,0.7559,0.000706,0.4540233703703704
28933,HEG1,0.7529,0.000761,0.45564218965517245
9199,CTBP1-AS2,0.7529,0.000761,0.45564218965517245
26262,DUSP10,0.7529,0.000761,0.45564218965517245
17445,ALYREF,0.7529,0.000761,0.45564218965517245
18916,ADA,0.75,0.00082,0.46682196721311475
30024,XLOC_l2_007738,-0.75,0.00082,0.46682196721311475
376,PIEZO1,0.75,0.00082,0.46682196721311475
26895,ATP6V1C2,0.7471,0.000882,0.4727081333333334
9261,LOC101928525,-0.7471,0.000882,0.4727081333333334
